Episode,Reward,Length
1378,11.0,11
1379,13.0,13
1380,11.0,11
1381,10.0,10
1382,24.0,24
1383,13.0,13
1384,15.0,15
1385,12.0,12
1386,14.0,14
1387,15.0,15
1388,17.0,17
1389,12.0,12
1390,13.0,13
1391,17.0,17
1392,13.0,13
1393,16.0,16
1394,13.0,13
1395,24.0,24
1396,24.0,24
1397,15.0,15
1398,16.0,16
1399,17.0,17
1400,12.0,12
1401,12.0,12
1402,15.0,15
1403,17.0,17
1404,15.0,15
1405,13.0,13
1406,11.0,11
1407,15.0,15
1408,16.0,16
1409,13.0,13
1410,11.0,11
1411,15.0,15
1412,16.0,16
1413,12.0,12
1414,17.0,17
1415,11.0,11
1416,15.0,15
1417,17.0,17
1418,17.0,17
1419,15.0,15
1420,11.0,11
1421,13.0,13
1422,12.0,12
1423,11.0,11
1424,15.0,15
1425,15.0,15
1426,12.0,12
1427,11.0,11
1428,12.0,12
1429,16.0,16
1430,13.0,13
1431,18.0,18
1432,10.0,10
1433,15.0,15
1434,11.0,11
1435,16.0,16
1436,15.0,15
1437,12.0,12
1438,24.0,24
1439,11.0,11
1440,16.0,16
1441,15.0,15
1442,15.0,15
1443,16.0,16
1444,17.0,17
1445,17.0,17
1446,17.0,17
1447,14.0,14
1448,17.0,17
1449,13.0,13
1450,14.0,14
1451,12.0,12
1452,11.0,11
1453,16.0,16
1454,14.0,14
1455,14.0,14
1456,11.0,11
1457,16.0,16
1458,17.0,17
1459,15.0,15
1460,15.0,15
1461,11.0,11
1462,13.0,13
1463,15.0,15
1464,15.0,15
1465,11.0,11
1466,15.0,15
1467,12.0,12
1468,15.0,15
1469,16.0,16
1470,14.0,14
1471,11.0,11
1472,14.0,14
1473,17.0,17
1474,13.0,13
1475,13.0,13
1476,12.0,12
1477,15.0,15
1478,16.0,16
1479,17.0,17
1480,11.0,11
1481,12.0,12
1482,11.0,11
1483,12.0,12
1484,13.0,13
1485,11.0,11
1486,18.0,18
1487,11.0,11
1488,15.0,15
1489,15.0,15
1490,12.0,12
1491,13.0,13
1492,11.0,11
1493,17.0,17
1494,15.0,15
1495,24.0,24
1496,12.0,12
1497,26.0,26
1498,12.0,12
1499,11.0,11
1500,24.0,24
1501,15.0,15
1502,17.0,17
1503,12.0,12
1504,13.0,13
1505,18.0,18
1506,12.0,12
1507,14.0,14
1508,16.0,16
1509,11.0,11
1510,16.0,16
1511,13.0,13
1512,24.0,24
1513,15.0,15
1514,13.0,13
1515,23.0,23
1516,18.0,18
1517,14.0,14
1518,17.0,17
1519,15.0,15
1520,11.0,11
1521,13.0,13
1522,11.0,11
1523,15.0,15
1524,24.0,24
1525,13.0,13
1526,12.0,12
1527,14.0,14
1528,15.0,15
1529,15.0,15
1530,20.0,20
1531,13.0,13
1532,15.0,15
1533,12.0,12
1534,17.0,17
1535,17.0,17
1536,11.0,11
1537,12.0,12
1538,12.0,12
1539,15.0,15
1540,13.0,13
1541,14.0,14
1542,13.0,13
1543,15.0,15
1544,16.0,16
1545,13.0,13
1546,13.0,13
1547,16.0,16
1548,15.0,15
1549,25.0,25
1550,17.0,17
1551,11.0,11
1552,13.0,13
1553,12.0,12
1554,14.0,14
1555,14.0,14
1556,11.0,11
1557,13.0,13
1558,12.0,12
1559,12.0,12
1560,16.0,16
1561,11.0,11
1562,15.0,15
1563,17.0,17
1564,11.0,11
1565,12.0,12
1566,14.0,14
1567,17.0,17
1568,11.0,11
1569,14.0,14
1570,14.0,14
1571,13.0,13
1572,26.0,26
1573,11.0,11
1574,16.0,16
1575,18.0,18
1576,17.0,17
1577,12.0,12
1578,14.0,14
1579,13.0,13
1580,11.0,11
1581,18.0,18
1582,17.0,17
1583,15.0,15
1584,13.0,13
1585,15.0,15
1586,23.0,23
1587,12.0,12
1588,15.0,15
1589,15.0,15
1590,12.0,12
1591,17.0,17
1592,11.0,11
1593,12.0,12
1594,13.0,13
1595,23.0,23
1596,18.0,18
1597,10.0,10
1598,12.0,12
1599,15.0,15
1600,16.0,16
1601,13.0,13
1602,15.0,15
1603,14.0,14
1604,13.0,13
1605,13.0,13
1606,26.0,26
1607,11.0,11
1608,13.0,13
1609,15.0,15
1610,11.0,11
1611,12.0,12
1612,13.0,13
1613,12.0,12
1614,16.0,16
1615,25.0,25
1616,11.0,11
1617,24.0,24
1618,16.0,16
1619,15.0,15
1620,11.0,11
1621,13.0,13
1622,11.0,11
1623,17.0,17
1624,16.0,16
1625,17.0,17
1626,16.0,16
1627,13.0,13
1628,11.0,11
1629,15.0,15
1630,15.0,15
1631,11.0,11
1632,18.0,18
1633,19.0,19
1634,15.0,15
1635,13.0,13
1636,12.0,12
1637,15.0,15
1638,11.0,11
1639,15.0,15
1640,13.0,13
1641,13.0,13
1642,17.0,17
1643,17.0,17
1644,14.0,14
1645,13.0,13
1646,12.0,12
1647,11.0,11
1648,11.0,11
1649,13.0,13
1650,13.0,13
1651,11.0,11
